product_name,product_category,product_promo,product_price,quantity_sold,location
"LC-VIT Multivitamins 120ml for dogs, cats and other pets",Pet Essentials,₱25 off,₱123,134200,"Santa Rosa City, Laguna"
DETICK RED / DETICK PLUS BLUE / ALPROCIDE + Free Syringe Spot On 1cc & 2cc Anti Tick & Flea,Pet Essentials,₱ 36 | 3.30 ONLY,₱36 - ₱96,106700,"Las Pinas City, Metro Manila"
"Madre de Cacao Soap Bar 135g Anti Tick and Flea , Anti Mange Lavender Scent",Pet Essentials,₱ 45 | 3.30 ONLY,₱50,75300,"Pasig City, Metro Manila"
Detick 1cc and 2 cc Anti Fleas & Ticks for Dogs and Cats,Pet Essentials,,₱37 - ₱54,72100,"Pasay City, Metro Manila"
Cosi Pet's Milk Lactose Free,Pet Essentials,,₱145,66100,"Mandaluyong City, Metro Manila"
Detick ORIGINAL FROM THAILAND NOT ENGLISH CHARACTERS,Pet Essentials,,₱19 - ₱65,63800,"Dasmarinas City, Cavite"
"Madre de Cacao Round Soap 50g Anti Tick and Flea, Antibacterial, Antifungal and Anti Mange",Pet Essentials,₱ 9 | 3.30 ONLY,₱18,59800,"Pasig City, Metro Manila"
Papi OB Pre and Post Pregnancy Pet Vitamins,Pet Essentials,Add-on Deal,₱200,41500,"Santa Rosa City, Laguna"
Nutriplus Gel by Virbac - April 2024 Pet Multivitamins for Dogs and Cats Nutri plus,Pet Essentials,,₱507,37800,"Malate, Metro Manila"
COD Detick 1cc 2cc WHOLESALE AVAILABLE ORIGINAL FROM THAILAND Anti Tick & Flea 1cc/2cc,Pet Essentials,,₱19 - ₱65,27100,"Dasmarinas City, Cavite"
